comment_id,video_title,author,comment,date,sentiment
UgyMeBOSACHKwJjPzzR4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,RobsVeto,# BRING BACK HEIR OF THE EMPIRE SEQUELS ❤❤❤❤❤❤,2023-04-12T23:49:35Z,neutral
UgxmjV3Sqs786UDdfUh4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Pempek Ron,"Unlike the movie, John Williams properly does his job.",2023-04-11T09:59:47Z,neutral
UgwK0yNTQPTUmtHHtZ14AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Hella Coorinna,"When Rey looked back at her undefeated army of all-woman jedi masters and whispered ""for Canto Bight horses"" and charged bravely at the all-white army of straight men from Second Order, I cried. Truly, what a war-ending, life-saving movie.",2023-04-11T03:38:40Z,positive
UgxAB-MuIDRhDKmQJwt4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Luke Thompson,"That moment when the trailer is better than the entire ""sequels""",2023-04-09T23:35:56Z,positive
UgzvVn58tz5-avbqh-14AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,mbawkher,"The trailer was better than the movie

And yes the music is epic",2023-04-09T19:16:43Z,positive
UgxdIekzCotfS8CQ82Z4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,The Mandalorian,This is not the way.,2023-04-09T16:33:05Z,neutral
UgwNd_tHP5gRffBZK194AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Yu Samuel,Somehow Palpatine returned,2023-04-09T12:15:30Z,neutral
UgxfxaKwCC50ETw4GkV4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Sven,"I don't even watch star wars, I'm just here for the music.",2023-04-09T08:09:33Z,negative
UgypmdIYsExAwLNaKWt4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,RogueEagle,Movie spat on childhood memories,2023-04-08T14:49:40Z,neutral
UgwD4OwiIWV6KiX_lBN4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Scotvince,1:26 I can't avoid crying everytime.,2023-04-08T12:15:22Z,positive
UgxcXOw7Dng8juDHdPB4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Fred Vaslin,Yes boych.  Lets go.  Reese and Keith need us!,2023-04-07T21:43:55Z,positive
UgzEFQPjonCvj0-2wOt4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Alex,This is the best Star Wars movie of all time. Sorry all you haters but the original movies were boring and overrated.,2023-04-07T20:14:22Z,negative
UgyvceP4n_gU1dgs2dx4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,leonthesleepy,The Saga....somehow returned,2023-04-07T17:50:04Z,neutral
UgxhK2Lf8QfY_MXZUft4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Squall Charlson,"THE SAGA WILL END

hahahahahahahahahaha",2023-04-07T16:32:36Z,neutral
UgxWF1e9Go3WiuAzMy94AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,LocrianDorian,Somehow Disney ruined Star Wars.,2023-04-07T14:38:12Z,negative
UgyWgowYQXtKAW0KDPR4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,enrique contreras,Jar jar abrahams is genius😂😂😂,2023-04-07T14:03:41Z,neutral
UgysBl7oC92DIRAM90l4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Vincent Valentine,"HOROUS, ANDOR, STAR, KENOBI, GREVIOUS, LEONIDAS, ZOD, KAL-EL, SMITH, ODINSON,  PICARD, MAHAN, FOSSUM, BLACK, MORALES, HERNANDEZ, LUNA, SHATNER, BIDEN, HAGUE, DUKE/NU&K, CALISTA, VI BRITANNIA, HERA, RA,  PREPARE FOR RESERVES TO DEPLOY TO AREAS OF FRIENDLY TRADE ROUTES AND FOR ACTIVE THEATER SPACE CONFLICTS.",2023-04-07T05:22:38Z,positive
UgxAJKTtb_BzFh2CmKZ4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Bob Mcdougall,"I finally watched this today. Like ep 8, I didn't even last half way through. Utter tripe.",2023-04-05T14:13:02Z,positive
UgwFA3hoKEu5E-68Ac94AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,dinledinle,I came to apologize after Mando's Season 3 Episode 6,2023-04-05T09:07:09Z,positive
UgyocCw71-l4oTQZU1h4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Seth Rollins,When the world is about to end this music will play,2023-04-03T20:56:45Z,positive
UgwKNVbG2Kir1g_SE4Z4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,FlopFloppy,if only the movie was as good as the trailer music 😢,2023-04-03T00:22:49Z,positive
UgyUdLT8OjOU1kapwih4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,DracoRex Maestro,This movie made Attack of the Clones look like Citizen Kane.,2023-04-01T15:17:20Z,negative
UgzQB1Afy_KpjqBZZvB4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Paperz36,How did anyone like this terrible  trilogy,2023-04-01T10:44:48Z,negative
Ugxeq7U__mOGFPeHwot4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Galactic Eternal Hyena,Cool this movie is.,2023-03-30T05:15:44Z,positive
Ugy25XFUrTMubUo-jnN4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Capstone Project Selection Process,"this sequal would have been fine if at the end anakin appeared, the 1:27 music starts, and defeat palpatine to end this cycle.",2023-03-28T03:57:28Z,negative
UgxGrksv8MRyj1MBHud4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Michele Burnard,How many of us can agree the trailer was better than the movie?,2023-03-27T20:56:58Z,positive
UgwjzhuOMmX9NnHAfU94AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Tumbleweed43,"Sequel Trilogy should have been about a galaxy that thought it didn’t need the force and a young new generation eager to help but not sure who to believe, only to find out that there is evil and good in the galaxy and the Force Will be with You, Always.",2023-03-26T14:33:27Z,negative
UgyltvuSvUpUKWXDbkd4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Got Milk?,"Your feelings on the movie aside, this is one of the best trailers ever made",2023-03-26T02:17:40Z,positive
UgwgevCzcsnsPSo2F2V4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,IRONMAN27,Trailer 10/10.  Film 1/10,2023-03-24T04:55:12Z,neutral
UgzkoHRHkRaGWw-IJtl4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,anil ji,Credit has to created,2023-03-22T10:25:28Z,positive
UgwcPhKKvIn1j8-MC3Z4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,A Muktadir,"Case m-9,A-A-7,s-5.r-j-i(1).",2023-03-21T22:43:47Z,neutral
UgxYkLcT8tVigEJpJDV4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Mary Duarte,For every star wars fan  it would be cool if they could have  made original  films into games  and have them  on dvd  the original trailgy  from  1977  the way   they    should have   been  made because  the fans   are getting  tired  of them  in  special edition   when they  say  original  1977 version  and they  start to  watching them  and it's the special edition  one  I wish they could have   both versions one from 1977 original  and special edition on dvd    My  son Has been looking for the original  1977  version fullscreen  he bought  3 special edition on dvd and thought  one of  them would be   original  with  original   trilogy    with  original  cover  boxset  please   have 1977 version  on dvd and  special edition on dvd  so the fans can  pick which one  they mostly  want to see more of   maybe  both versions  thanks,2023-03-20T18:38:46Z,positive
UgwyZn57cWrV60wMW1B4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,A Muktadir,550 us-450 them.,2023-03-20T12:59:37Z,neutral
UgyPcK4tGb_wxH4YFL14AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Alexisme,Maybe the film isn’t bad after all …..,2023-03-20T11:13:23Z,negative
UgwF5fUO5w5Hhk2S-wp4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Agash Selvam,Thanks this movie. I waiting Movie films are warting In cinemas. I waiting several stars Wars Movies cinemas.,2023-03-20T08:17:15Z,negative
Ugzxbifn1JQws2f_Ew14AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Elektrogstanzl,PRINCESS LEIA‘S THEME CARRIES THIS TRAILER!!! ❤️❤️❤️,2023-03-18T08:00:14Z,neutral
UgwP9xYkaidqY_Mcf-h4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Cookie_monkie93,“Taking one last look sir….at my friends” so nostalgic😭😭😭😭,2023-03-18T03:51:40Z,neutral
UgxnBKrbfjlMjq8PNX54AaABAg,Andor | Official Trailer | Disney+,guy with asuka pfp,I LOVE ANDOR!,2023-03-13T18:01:32Z,positive
UgyiFRJ1qX9HGF1ay5t4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Nikolas Morin,This is the best movie I've ever seen!!!,2023-03-17T02:53:09Z,positive
UgypMRGtbMx5_wr1wE14AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Gerson Andres Ortiz Velasco,Grande película un gran  recuerdo,2023-03-16T07:27:54Z,neutral
UgwS2JEXhmkudR27N1d4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,The Emperor,"This movie is a big lie, and the reverse has happened",2023-03-15T17:26:53Z,neutral
UgzONk5IgmSypLAM8354AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Poet Amit Gupta Channel,Universal war 1945...lol,2023-03-13T08:29:44Z,negative
